Action,Site ID,Category ID,Custom Label,MPC,Title,Condition ID,Price,Quantity,Item Photo URL,Description,Brand,Duration,Format,ReturnsAcceptedOption,ReturnsWithinOption,ShippingCostPaidByOption,Location,PostalCode
Add,eBayMotors,33615,06K121605C TB923 95812160500,nan06K121605C,Continental Belt 06K121605C,1000,$30.00,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X785 99919234550 035903137C,nan10X785,Continental Belt 10X785,1000,$9.66,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X725 99919209750,nan10X725,Continental Belt 10X725,1000,$8.82,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X763 068145271C,nan10X763,Continental Belt 10X763,1000,$9.34,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X750 0069972492,nan10X750,Continental Belt 10X750,1000,$9.28,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X740 039131615,nan10X740,Continental Belt 10X740,1000,$9.56,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X735 068903137Q,nan10X735,Continental Belt 10X735,1000,$11.82,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X730 026145271 32421727180,nan10X730,Continental Belt 10X730,1000,$9.66,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X775 99919233850,nan10X775,Continental Belt 10X775,1000,$9.66,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X710 9991921765A,nan10X710,Continental Belt 10X710,1000,$8.92,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X700,nan10X700,Continental Belt 10X700,1000,$7.18,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X685 ERR2073,nan10X685,Continental Belt 10X685,1000,$7.02,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
Add,eBayMotors,33615,10X675 ERR2073 052903137F,nan10X675,Continental Belt 10X675,1000,$8.70,1,https://i.imgur.com/9oITbPo.jpg,Continental Belt,Continental,GTC,FixedPrice,ReturnsAccepted,Days_30,Buyer,Columbia MO,65201
