Part Name,SKU,Cost,Retail,Quantity,Source,FMV,TOTAL,Grand TOTAL,Cost + Retail / 2,TOTAL.1,Grand Total,Average
Belt,06K121605C TB923  95812160500,15.3,30.0,1.0,,29.1,29.1,,22.65,22.65,,
Belt,10X785 99919234550 035903137C,4.83,9.66,7.0,,33.0,231.0,,7.245,50.715,,
Belt,10X725 99919209750,4.41,8.82,12.0,,32.0,384.0,,6.615,79.38,,
Belt,10X763 068145271C,4.67,9.34,7.0,,31.0,217.0,,7.005,49.035,,
Belt,10X750 0069972492,4.64,9.28,1.0,,37.0,37.0,,6.96,6.96,,
Belt,10X740 039131615,4.78,9.56,1.0,,36.0,36.0,,7.17,7.17,,
Belt,10X735 068903137Q,5.91,11.82,3.0,,35.0,105.0,,8.865,26.595,,
Belt,10X730 026145271 32421727180,4.83,9.66,1.0,,32.0,32.0,,7.245,7.245,,
Belt,10X775 99919233850,4.83,9.66,6.0,,33.0,198.0,,7.245,43.47,,
Belt,10X710 9991921765A,4.46,8.92,3.0,,34.0,102.0,,6.69,20.07,,
Belt,10X700,3.59,7.18,4.0,,36.0,144.0,,5.385,21.54,,
Belt,10X685 ERR2073,3.51,7.02,1.0,,35.0,35.0,,5.265,5.265,,
Belt,10X675 ERR2073 052903137F,4.35,8.7,1.0,,32.0,32.0,,6.525,6.525,,
Belt,10X635 027903137 10X660,4.58,9.16,1.0,,33.0,33.0,,6.87,6.87,,
Belt,10X650,3.63,7.26,1.0,,31.0,31.0,,5.445,5.445,,
Belt,10X643 068121039B,4.72,9.44,3.0,,30.0,90.0,,7.08,21.24,,
Belt,10X635 027903137 10X660,4.58,9.16,3.0,,32.0,96.0,,6.87,20.61,,
Belt,10X625,3.65,7.3,3.0,,34.0,102.0,,5.475,16.425,,
Belt,10X610,18.08,31.64,4.0,,36.0,144.0,,24.86,99.44,,
Belt,10X600 068903137AF,4.06,8.12,5.0,,33.0,165.0,,6.09,30.45,,
Belt,13X670,6.27,13.0,1.0,,35.0,35.0,,9.635,9.635,,
Belt,13X715 0039979892,5.04,12.0,1.0,,32.0,32.0,,8.52,8.52,,
Belt,13X750 0069970992,5.04,12.0,1.0,,34.0,34.0,,8.52,8.52,,
Belt,13X775,6.59,15.0,1.0,,52.0,52.0,,10.795,10.795,,
Belt,13X800 64521711058,5.37,12.0,2.0,,48.0,96.0,,8.685,17.37,,
Belt,13X810 64521706826,4.25,12.0,1.0,,55.0,55.0,,8.125,8.125,,
Belt,13X818 0069976892,6.75,13.5,3.0,,62.0,186.0,,10.125,30.375,,
Belt,13X850 0049979892 64521466031,6.98,15.0,4.0,,58.0,232.0,,10.99,43.96,,
Belt,13X855  64521722373,6.87,14.0,1.0,,60.0,60.0,,10.435,10.435,,
Belt,13X860,4.9,14.0,5.0,,50.0,250.0,,9.45,47.25,,
Belt,13X875 0049973592 84013300249,4.25,14.0,6.0,,63.0,378.0,,9.125,54.75,,
Belt,,6.2,12.0,1.0,,61.0,61.0,,9.1,9.1,,
Belt,10X1160 0069973592,6.04,12.08,2.0,,54.0,108.0,,9.06,18.12,,
Belt,10X1150 055903137B,6.97,13.94,4.0,,49.0,196.0,,10.455,41.82,,
Belt,10X1135,6.59,13.18,1.0,,57.0,57.0,,9.885,9.885,,
Belt,10X1090 2430B 2430,4.39,8.78,9.0,,55.0,495.0,,6.585,59.265,,
Belt,10X1060 2420B 2420,3.86,7.72,2.0,,50.0,100.0,,5.79,11.58,,
Belt,9.5X1035 95X1035 2800053411 41013 T9217,22.54,45.08,1.0,,52.0,52.0,,33.81,33.81,,
Belt,10X1030 10X1035 0049973992,5.48,10.96,1.0,,54.0,54.0,,8.22,8.22,,
Belt,10X1030 10X1035 0049973992,5.48,10.96,1.0,,54.0,54.0,,8.22,8.22,,
Belt,10X1025 11231721408 0059975692 99919202050 7310535,10.53,18.43,2.0,,52.0,104.0,,14.48,28.96,,
Belt,10X1000 0049978592,5.34,10.68,3.0,,50.0,150.0,,8.01,24.03,,
Belt,10X995,4.5,9.0,5.0,,48.0,240.0,,6.75,33.75,,
Belt,10X940 049903137D,6.01,12.02,3.0,,49.0,147.0,,9.015,27.045,,
Belt,10X980 0069973092,5.37,10.74,1.0,,51.0,51.0,,8.055,8.055,,
Belt,10X975 12311268697 93185052,5.45,10.9,1.0,,52.0,52.0,,8.175,8.175,,
Belt,10X955 12311284317,4.5,9.0,2.0,,50.0,100.0,,6.75,13.5,,
Belt,10X950,8.35,16.7,4.0,,51.0,204.0,,12.525,50.1,,
Belt,10X940 049903137D,6.01,12.02,7.0,,50.0,350.0,,9.015,63.105,,
Belt,10X938,4.25,8.5,1.0,,51.0,51.0,,6.375,6.375,,
Belt,10X935 0069973292,5.27,10.54,2.0,,50.0,100.0,,7.905,15.81,,
Belt,10X930,5.92,11.84,5.0,,42.0,210.0,,8.88,44.4,,
Belt,10X925,19.29,38.58,3.0,,39.0,117.0,,28.935,86.805,,
Belt,10X918 973537 10X920,6.19,12.38,1.0,,51.0,51.0,,9.285,9.285,,
Belt,10X913 32411711144,4.88,9.76,1.0,,50.0,50.0,,7.32,7.32,,
Belt,10X900 0079977892 32421711067,4.99,9.98,1.0,,47.0,47.0,,7.485,7.485,,
Belt,10X875 0059978392 12311268676 99919213550,5.51,14.0,1.0,,56.0,56.0,,9.755,9.755,,
Belt,10X870 2345B 2345,4.51,9.02,2.0,,62.0,124.0,,6.765,13.53,,
Belt,10X865 0059979292 11231709638,3.98,7.96,3.0,,44.0,132.0,,5.97,17.91,,
Belt,10X838 0069972992,3.94,7.88,4.0,,53.0,212.0,,5.91,23.64,,
Belt,10X800 11641254120 32421717953,4.94,9.88,8.0,,48.0,384.0,,7.41,59.28,,
belt,10X790 2310B 2310,4.31,8.62,3.0,,41.0,123.0,,6.465,19.395,,
Belt,7PK1290 7K1290 021145933C,29.36,48.0,1.0,,44.0,44.0,,38.68,38.68,,
Belt,7DPK1400 7DK1400 7DPK1395 7DK1395 021145933K,35.1,58.0,1.0,,46.0,46.0,,46.55,46.55,,
Belt,7PK1580 7K1580 11287636367,18.02,30.0,1.0,,49.0,49.0,,24.01,24.01,,
Belt,7PK1629 7K1629 11287631823 11287833264,19.71,33.0,1.0,,52.0,52.0,,26.355,26.355,,
Belt,7PK1635 7K1635 11287636377 LR051050,24.81,41.0,1.0,,50.0,50.0,,32.905,32.905,,
Belt,7DK2074 7DPK2074 022145933P 95510293300,36.99,62.0,1.0,,48.0,48.0,,49.495,49.495,,
Belt,7PK2365 7K2365 077903137AB,18.88,32.0,1.0,,45.0,45.0,,25.44,25.44,,
Belt,7PK2535 7K2535 077903137AE,36.07,60.0,1.0,,47.0,47.0,,48.035,48.035,,
Belt,7PK2555 7K2555,26.73,45.0,1.0,,43.0,43.0,,35.865,35.865,,
Belt,8PK2585 8K2585 0109977392,43.07,68.91,1.0,,38.0,38.0,,55.99,55.99,,
Belt,8K2465 8PK2465 0099978792,34.5,55.2,1.0,,41.0,41.0,,44.85,44.85,,
Belt,6DPK1853 6DK1853 30731809 9A110221601,28.21,45.14,1.0,,39.0,39.0,,36.675,36.675,,
Belt,6DPK1320 6DK1320 066145933J,24.37,42.65,2.0,,43.0,86.0,,33.51,67.02,,
Belt,6DPK1285 6DK1285 06G260849,29.82,47.71,1.0,,46.0,46.0,,38.765,38.765,,
Belt,6DPK1195 6DK1195 06A260849C,21.59,37.78,4.0,,48.0,192.0,,29.685,118.74,,
Belt,10X1250 9347048,6.48,12.96,2.0,,50.0,100.0,,9.72,19.44,,
Belt,10X1225 0069973492,9.33,18.66,1.0,,47.0,47.0,,13.995,13.995,,
Belt,10X1210,5.98,11.96,1.0,,45.0,45.0,,8.97,8.97,,
Belt,10X1200 0059977792,7.35,14.7,2.0,,49.0,98.0,,11.025,22.05,,
Belt,10X1184 0069973392 9361791,9.84,19.68,2.0,,42.0,84.0,,14.76,29.52,,
Belt,10X1175,5.78,11.56,7.0,,44.0,308.0,,8.67,60.69,,
Belt,9.5X1175 95X1175  4014486098464  26111801,6.17,12.34,1.0,,46.0,46.0,,9.255,9.255,,
Belt,4PK1080 4PK1070,5.93,15.0,1.0,,48.0,48.0,,10.465,10.465,,
Belt,4PK1120 4K1120 06M903137AA,7.64,15.0,1.0,,50.0,50.0,,11.32,11.32,,
Belt,4PK1137 4K1137 4PK1140 4K1140,8.1,16.0,1.0,,47.0,47.0,,12.05,12.05,,
Belt,5PK830 5PK0830 11287830946 NAC2211BA,7.94,16.0,1.0,,45.0,45.0,,11.97,11.97,,
Belt,5PK836 5K836 5PK0836 5K0836 5PK835 5K835 5PK0835 5K0835,8.44,17.0,1.0,,49.0,49.0,,12.72,12.72,,
Belt,5PK847 5K847 30777530,5.89,20.0,1.0,,51.0,51.0,,12.945,12.945,,
Belt,5PK855 5K855 5K863 11281437450,7.78,15.0,4.0,,53.0,212.0,,11.39,45.56,,
BELT,5PK863,7.98,25.0,2.0,,50.0,100.0,,16.49,32.98,,
Belt,5PK880 5K880,9.89,20.0,1.0,,48.0,48.0,,14.945,14.945,,
Belt,5K890 5PK890 11281703943,7.81,25.0,2.0,,46.0,92.0,,16.405,32.81,,
Belt,5PK906 5K90611281437449,9.1,20.0,2.0,,26.0,52.0,,14.55,29.1,,
Belt,5PK925 5K925 07K145933C,7.86,25.0,2.0,,44.0,88.0,,16.43,32.86,,
Belt,5PK935 5PK940 5K935 5K940 07K145933G,8.75,18.0,1.0,,46.0,46.0,,13.375,13.375,,
Belt,5PK970 5K970 5PK0970 5K0970 07L903137T,10.61,20.0,1.0,,48.0,48.0,,15.305,15.305,,
Belt,5PK980 5K980 5PK0980 11287833266 EBC11306,8.61,17.0,1.0,,50.0,50.0,,12.805,12.805,,
Belt,5PK0995 5K0995 5K995 5PK995,10.89,19.0,1.0,,52.0,52.0,,14.945,14.945,,
Belt,5PK1005 5K1005 11287636376 99919220650 PQS000220,9.08,18.0,1.0,,54.0,54.0,,13.54,13.54,,
Belt,5PK1060 5K1060 07K145933E,9.25,30.0,1.0,,56.0,56.0,,19.625,19.625,,
Belt,5PK1110 5K1110,10.64,19.0,1.0,,58.0,58.0,,14.82,14.82,,
Belt,5PK1125 5K1125 079903137AB,8.75,17.0,2.0,,60.0,120.0,,12.875,25.75,,
Belt,5PK1155 5K1155 11281733708,9.27,19.0,1.0,,62.0,62.0,,14.135,14.135,,
Belt,5PK1190 5K1190 11281736972,13.47,23.57,1.0,,64.0,64.0,,18.52,18.52,,
Belt,5PK1290 5K1290 5PK1295 5K1295 5K1300 5PK1300 06B903137E,10.15,18.0,1.0,,55.0,55.0,,14.075,14.075,,
Belt,5PK1290 5K1290 5PK1295 5K1295 5K1300 5PK1300 06B903137E,10.15,18.0,1.0,,55.0,55.0,,14.075,14.075,,
Belt,5PK1432 5K1432 038903137T,12.8,23.0,1.0,,58.0,58.0,,17.9,17.9,,
