Part Name,SKU,Cost,Retail,Quantity,Source,FMV,TOTAL,Grand TOTAL,Cost + Retail / 2,TOTAL,Grand Total,Average
Oil Filter - MANN,ML1006 72227WS LR029240 H10W18 12737086 PF48 F1AZ6731BD FL820S 5001200189 1502074 S45012 OC705,$11.94,$22.00,1,CarParts.com,$17.49,$17.49,"$176,326.52",$16.97,$16.97,"$150,547.53","$163,437.02"
"Oil Filter, Mahle",OX1138D LR073669 E867HD70 LR073669G HU6024Z LR073669CF,$8.51,$18.00,2,eBay OEM listing,$21.53,$43.06,,$13.26,$26.51,,
Oil Filter - Hengst,H90W29 LPW100230 OC2371 LPW100230M 5001204056,$7.19,$15.00,1,eBay,$20.84,$20.84,,$11.10,$11.10,,
"Oil Filter, Mann",LR031439 4H2Z6731AA 5001200186 EAZ1354 C2C41611 3978 72209WS FL2021 H329W OC602,$11.00,$24.00,3,eBay,$29.87,$89.61,,$17.50,$52.50,,
Oil Filter - OP,OC261 ERR3340 ERR3340M 72198WS W930/20 W93020 W930/21 W93021,$5.10,$10.20,1,Land Rover OEM listing,$7.65,$7.65,,$7.65,$7.65,,
"Oil Filter, NPN",50012001186 LR096524 C2D56297 BE8Z6731AB 90915YZZD1 90915YZZD3 7B0115561 OC1063 W7015 1502010,$4.69,$10.00,2,FCP,$8.99,$17.98,,$7.35,$14.69,,
"Oil Filter, FEBI",E863HD360 OX774D LR011279 C2D3670 109017,$7.39,$15.00,1,eBay,$11.00,$11.00,,$11.20,$11.20,,
Air Filter - Quality Parts,AAF7989 C25146 LR027408 E660L ESR4238 LX886,$12.62,$22.08,1,CarParts.com,$11.20,$11.20,,$17.35,$17.35,,
Air Filter - MANN,C26126 ESR1445 E776L LX821,$11.74,$20.55,1,eBay,$16.15,$16.15,,$16.15,$16.15,,
Air Filter - MANN,PHE000112 PHE000112M C31196,$17.32,$30.31,1,eBay,$23.82,$23.82,,$23.82,$23.82,,
Air Filter - MANN,C39201 PHE500021 PHE500021M E732L LX793  PHB500074 95511013100 95811013000,$23.35,$40.86,1,eBay,$32.11,$32.11,,$32.11,$32.11,,
Air Filter - MAHLE,LX898 RTC4683 RTC4683G C1571,$9.25,$18.50,1,Amazon,$13.88,$13.88,,$13.88,$13.88,,
Air Filter - Jaguar,EAC4840 C1567 237475 10304,$15.91,$27.84,1,eBay,$38.00,$38.00,,$21.88,$21.88,,
Air Filter - MANN,C18161 PHE000050 PHE000050M 5000204053,$38.05,$65.00,1,CarParts.com,$52.00,$52.00,,$51.53,$51.53,,
Engine Air Filter - MANN,13721477840 C2237 E414L LX1046,$8.33,$20.00,3,eBay,$23.56,$70.68,,$14.17,$42.50,,
