sku,matched_part_number,source,image_url,local_path,status,notes
06K121605C TB923  95812160500,06K121605C,rockauto,https://www.rockauto.com/info/33/95352__ra_m.jpg,output/belt_images/06K121605C/rockauto.jpg,success,
10X785 99919234550 035903137C,10X785,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X785/rockauto.jpg,success,
10X725 99919209750,10X725,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X725/rockauto.jpg,success,
10X763 068145271C,10X763,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X763/rockauto.jpg,success,
10X750 0069972492,10X750,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X750/rockauto.jpg,success,
10X740 039131615,10X740,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X740/rockauto.jpg,success,
10X735 068903137Q,10X735,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X735/rockauto.jpg,success,
10X730 026145271 32421727180,10X730,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X730/rockauto.jpg,success,
10X775 99919233850,10X775,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X775/rockauto.jpg,success,
10X710 9991921765A,10X710,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X710/rockauto.jpg,success,
10X700,10X700,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X700/rockauto.jpg,success,
10X685 ERR2073,10X685,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X685/rockauto.jpg,success,
10X675 ERR2073 052903137F,ERR2073,rockauto,https://www.rockauto.com/info/33/DY_15270DR_Fro__ra_m.jpg,output/belt_images/ERR2073/rockauto.jpg,success,
10X635 027903137 10X660,10X635,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X635/rockauto.jpg,success,
10X650,,,,,not_found,Tried 1 numbers with no match
10X643 068121039B,10X643,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X643/rockauto.jpg,success,
10X635 027903137 10X660,10X635,rockauto,https://www.rockauto.com/info/147/08256_VIEW 2__ra_m.jpg,output/belt_images/10X635/rockauto.jpg,success,
10X625,,,,,not_found,Tried 1 numbers with no match
