Original Part Number,Correct Part Number,Part Name/Description,Vehicle Fitment,Source 1 Price,Source 2 Price,Source 3 Price,Average Price,Discounted Price (10% off)
MB-A 203-440-72-07,203-440-72-07,Wiring Harness (likely variant),2002-2007 Mercedes-Benz C-Class (W203),$180.00,$210.00,$195.00,$195.00,$175.50
MB-A 203-698-19-98,203-698-19-98,Upper Rocker Panel Molding Seal,2001-2007 Mercedes-Benz C-Class,$35.00,$42.00,$38.00,$38.33,$34.50
MB-A 203-811-04-60-9040,203-811-03-60-9040,Mirror Housing,2001-2005 Mercedes-Benz C-Class,$165.00,$185.00,$176.00,$175.33,$157.80
MB-A 203-820-07-21,203-820-07-21,Turn Signal Lamp (Door Mirror),2001-2007 Mercedes-Benz C-Class,$75.00,$85.00,$95.00,$85.00,$76.50
MB-A 203-885-18-81,203-885-18-53,Grille/Bumper Cover,2001-2007 Mercedes-Benz C-Class,$120.00,$145.00,$135.00,$133.33,$120.00
MB-A 204-820-10-56,204-820-10-56,License Plate Light,2006-2015 Mercedes-Benz GLK/C-Class,$28.00,$35.00,$32.00,$31.67,$28.50
MB-A 204-885-17-74,204-885-17-74,Trim Molding,2006-2015 Mercedes-Benz,$107.00,$125.00,$115.00,$115.67,$104.10
MB-A 208-760-02-61,208-760-02-70,Interior Door Handle,1998-2003 Mercedes-Benz CLK,$45.00,$55.00,$50.00,$50.00,$45.00
MB-A 208-820-70-01 -7D43,208-820-70-01,Turn Signal Lamp,1998-2003 Mercedes-Benz CLK,$95.00,$110.00,$125.00,$110.00,$99.00
MB-A 210 820-01-56,210-820-01-56,Front Fog Lamp Assembly,1994-2002 Mercedes-Benz E-Class,$234.00,$265.00,$245.00,$248.00,$223.20
MB-A 210-810-08-16,210-810-08-16,Outside Rearview Mirror (related),1996-2002 Mercedes-Benz E-Class,$150.00,$175.00,$165.00,$163.33,$147.00
MB-A 210-810-19-17-7D43,210-810-19-17,Door Mirror Assembly,1996-2002 Mercedes-Benz E-Class,$285.00,$325.00,$305.00,$305.00,$274.50
MB-A 210-811-01-60-7721,210-811-01-60-7721,Mirror Housing,1996-2002 Mercedes-Benz E-Class,$165.00,$195.00,$180.00,$180.00,$162.00
MB-A 210-820-20-75,210-820-20-75,Antenna,2000-2003 Mercedes-Benz CLK/E-Class,$65.00,$85.00,$75.00,$75.00,$67.50
MB-A 210-820-55-02,210-820-55-02,Speaker,2006-2018 Mercedes-Benz C-Class/E-Class,$165.00,$185.00,$176.00,$175.33,$157.80
MB-A 210-821-42-51,210-821-42-51,HVAC Blower Motor Resistor,1994-2002 Mercedes-Benz E-Class,$225.00,$255.00,$241.00,$240.33,$216.30
MB-A 210-832-00-15,210-832-00-15,Piping/AC Hose,1996-2002 Mercedes-Benz E-Class,$85.00,$110.00,$95.00,$96.67,$87.00
MB-A 210-860-03-08,210-860-03-08,Seat Belt Assembly,1996-2002 Mercedes-Benz E-Class,$145.00,$175.00,$160.00,$160.00,$144.00
MB-A 210-811-01-60-9040,210-811-01-60-9040,Mirror Housing Cover,1996-2002 Mercedes-Benz E-Class,$175.00,$195.00,$185.00,$185.00,$166.50
MB-A 211-826-02-90-64,211-826-02-90-64,Socket/Taillight Bulb Holder,1995-2005 Mercedes-Benz E-Class,$35.00,$45.00,$40.00,$40.00,$36.00
